id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"793",16.26909,55.76423,16.36909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.714
"794",16.26909,55.66423,16.36909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.614
"795",16.26909,55.56423,16.36909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.514
"796",16.26909,55.46423,16.36909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.319,55.414
"824",16.36909,56.86423,16.46909,56.76423,68010616.820,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,56.814
"825",16.36909,56.76423,16.46909,56.66423,68190537.732,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,56.714
"826",16.36909,56.66423,16.46909,56.56423,68370240.940,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,56.614
"831",16.36909,56.16423,16.46909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,56.114
"832",16.36909,56.06423,16.46909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,56.014
"833",16.36909,55.96423,16.46909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,55.914
"834",16.36909,55.86423,16.46909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,55.814
"835",16.36909,55.76423,16.46909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,55.714
"836",16.36909,55.66423,16.46909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,55.614
"837",16.36909,55.56423,16.46909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",16.419,55.514
